Enterobacterales,Pseudomonas,S. maltophilia,Acinetobacter,Staphylococcus,Enterococcus,"Streptococcus A,B,C,G",S. pneumoniae,Viridans group Streptococci,H. influenzae,M. catarrhalis,N. gonorrheae,N. meningitidis,Bacteroides,Prevotella,F. necrophorum,C. perfringens,C. acnes,C. difficile,H. pylori,L. monocytogenes,Pasteurella,Campylobacter jejuni and coli,Corynebacterium,Corynebacterium diphteriae and ulcerans,Aerococcus sanguinicola and urinae,K. kingae,Aeromonas,A. xylosoxidans,Vibrio,Bacillus,B. pseudomallei,Candida and Cryptococcus,Aspergillus
Salmonella enterica Coromandel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Corvallis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cotham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cotia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cotonou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cremieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Crewe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Croft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Crossness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cubana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cuckmere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cullingworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cumberland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Czernyring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Daarle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dabou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dadzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dahlem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dahomey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dahra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dakar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dallgow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Damman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dapango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Daula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Daytona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Deckstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Delan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Delmenhorst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dembe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Demerara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Derby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Derkle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dessau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Detmold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Deversoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dibra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dietrichsdorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dieuppeul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Diguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dingiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Diogoye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Diourbel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Djakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Djama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Djelfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Djermaia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Djinten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Djugu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Doba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Doel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Doncaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Donna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Doorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dortmund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Douala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dougi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Doulassame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Drac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Driffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Duesseldorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dugbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Duisburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dumfries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Dunkwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Durban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Durham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Duval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ealing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Eastbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Eastglam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Eaubonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Eberswalde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Eboko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ebrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Echa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Edinburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Edmonton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Egusi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Egusitoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Eingedi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Eko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ekotedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ekpoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Elbeuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Elisabethville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Elokate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Elomrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Emek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Emmastad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Encino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Enschede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Entebbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Enugu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Epalinges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Epicrates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Epinay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Eppendorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Erfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Escanaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Eschberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Eschweiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Essen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Essingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Etterbeek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Euston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Everleigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Evry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ezra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fairfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fajara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Faji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Falkensee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fallowfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fanti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Farakan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Farcha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fareham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Farmingdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Farmsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Farsta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fehrbellin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ferlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ferruch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fillmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Finaghy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Findorff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Finkenwerder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fischerhuette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fischerkietz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fischerstrasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fitzroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Florian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Flottbek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fluntern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fomeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fortlamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fortune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Franken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Frederiksberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Freefalls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Freetown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Freiburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fresno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Friedenau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Friedrichsfelde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Frintrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fufu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fulda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fulica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Fyris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gafsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gaillac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Galiema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Galil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gallen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gallinarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gamaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gambaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gaminara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Garba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Garoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gassi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gateshead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gatineau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gatow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gatuni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gbadago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gdansk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Geraldton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Giessen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Give,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Giza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Glasgow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Glidji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Glostrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gloucester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gnesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Godesberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Goelzau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Goeteborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Goettingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gokul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Goldcoast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Goma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Goulfey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gouloumbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Goverdhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gozo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Grampian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Grancanaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Grandhaven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Granlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Greiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Groenekan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Grumpensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Guarapiranga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Guerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gueuletapee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Guildford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gustavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gwale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Gwoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Haardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hadar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hadejia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Haduna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Haelsingborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Haferbreite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Haga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Haifa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Halle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hallfold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Handen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hannover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Haouaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Harburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Harcourt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Harleystreet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hartford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Harvestehude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hatfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Havana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hayindogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Heerlen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hegau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Heidelberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Heistopdenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hemingford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hennekamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hermannswerder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Heron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Herston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Herzliya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hessarek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hidalgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hiduddify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hillegersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hillingdon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hillsborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hilversum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hindmarsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hisingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hissar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hithergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hoboken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hoghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hohentwiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Holcomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Homosassa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Honelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hongkong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Horsham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Huddinge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Huettwilen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hvittingfoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Hydra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ibadan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ibaragi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Idikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ikayi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ikeja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
